product_name;price;product_vat_rate;product_msr;product_characteristics;okpd2_code;okpd2_name;inn;country_code
Каток вибрационный комбинированный двухосный RV-13-DS;"";Без НДС;Штука;Описание: Каток вибрационный комбинированный двухосный RV-13-DS || Ширина уплотняемой полосы: 2150, Миллиметр || Климатическое исполнение: 1 || Наличие устройства защиты оператора ROPS: нет || Тип продукции по ПП РФ 616: Катки дорожные самоходные || Диаметр вальца: 1400, Миллиметр || Статическая линейная нагрузка вальца, кН/м: 30.2 || Трансмиссия: гидростатическая || Привод: обе оси || Тип катка: комбинированный || Тип катка по способу уплотнения: вибрационный || Вид катка: дорожный || Эксплуатационная масса: 13, Тонна метрическая тонна (1000 кг) || Тип катка по количеству вальцов: двухвальцовый || Наличие отопителя: да || Наличие системы кондиционирования: нет / да || Описание: Каток вибрационный комбинированный двухосный RV-13-DS;28.92.24.120;Катки дорожные самоходные;d9db684278cea059fdf499842eed2ec1;643
Каток вибрационный комбинированный двухосный RV-14-DS;"";Без НДС;Штука;Описание: Каток вибрационный комбинированный двухосный RV-14-DS || Тип продукции по ПП РФ 616: Катки дорожные самоходные || Наличие системы кондиционирования: нет / да || Наличие отопителя: да || Тип катка по количеству вальцов: двухвальцовый || Эксплуатационная масса: 14, Тонна метрическая тонна (1000 кг) || Вид катка: дорожный || Тип катка по способу уплотнения: вибрационный || Тип катка: комбинированный || Привод: обе оси || Трансмиссия: гидростатическая || Климатическое исполнение: 1 || Наличие устройства защиты оператора ROPS: нет || Ширина уплотняемой полосы: 2150, Миллиметр || Статическая линейная нагрузка вальца, кН/м: 32.5 || Диаметр вальца: 1400, Миллиметр || Описание: Каток вибрационный комбинированный двухосный RV-14-DS;28.92.24.120;Катки дорожные самоходные;d9db684278cea059fdf499842eed2ec1;643
Каток вибрационный комбинированный двухосный ДУ-84;"";Без НДС;Штука;Описание: Каток вибрационный комбинированный двухосный ДУ-84 || Привод: обе оси || Наличие устройства защиты оператора ROPS: Нет || Наличие системы кондиционирования: Нет / Да || Наличие отопителя: Да || Климатическое исполнение: 1 || Тип катка по количеству вальцов: Двухвальцовый || Эксплуатационная масса: 14, Тонна метрическая тонна (1000 кг) || Вид катка: Дорожный || Тип катка по способу уплотнения: Вибрационный || Диаметр вальца: 1600, Миллиметр || Тип катка: Комбинированный || Дополнительные опции: Балластирование катка по массе от 12т. до 16.9т., Бандаж кулачковый || Трансмиссия: гидростатическая || Ширина уплотняемой полосы: 2000, Миллиметр || Тип продукции по ПП РФ 616: Катки дорожные самоходные || Статическая линейная нагрузка вальца, Кн/м: 32 || Описание: Каток вибрационный комбинированный двухосный ДУ-84;28.92.24.120;Катки дорожные самоходные;d9db684278cea059fdf499842eed2ec1;643
Каток вибрационный двухосный ДУ-85;"";Без НДС;Штука;Описание: Каток вибрационный двухосный ДУ-85 || Тип продукции по ПП РФ 616: Катки дорожные самоходные || Трансмиссия: гидростатическая || Привод: обе оси || Дополнительные опции: балластирование катка по массе от 12т. до 16.9т., предпусковой подогреватель двигателя, утеплитель капота, бандаж кулачковый || Тип катка: гладковальцовый || Тип катка по способу уплотнения: вибрационный || Вид катка: грунтовый || Эксплуатационная масса: 13, Тонна метрическая тонна (1000 кг) || Тип катка по количеству вальцов: одновальцовый || Наличие системы кондиционирования: нет / да || Наличие устройства защиты оператора ROPS: нет || Диаметр вальца: 1600, Миллиметр || Статическая линейная нагрузка вальца, кН/м: 32 || Ширина уплотняемой полосы: 2000, Миллиметр || Наличие отопителя: да || Климатическое исполнение: 1 || Описание: Каток вибрационный двухосный ДУ-85;28.92.24.120;Катки дорожные самоходные;d9db684278cea059fdf499842eed2ec1;643
Каток вибрационный двухосный RV-13-DT;"";Без НДС;Штука;Описание: Каток вибрационный двухосный RV-13-DT || Диаметр вальца: 1600, Миллиметр || Тип продукции по ПП РФ 616: Катки дорожные самоходные || Наличие устройства защиты оператора ROPS: да || Наличие системы кондиционирования: нет / да || Наличие отопителя: да || Тип катка по количеству вальцов: одновальцовый || Эксплуатационная масса: 13, Тонна метрическая тонна (1000 кг) || Вид катка: грунтовый || Тип катка по способу уплотнения: вибрационный || Тип катка: гладковальцовый || Дополнительные опции: предпусковой подогреватель двигателя, утеплитель капота, бандаж кулачковый || Привод: обе оси || Трансмиссия: гидростатическая || Статическая линейная нагрузка вальца, кН/м: 38 || Климатическое исполнение: 1 || Ширина уплотняемой полосы: 2200, Миллиметр || Описание: Каток вибрационный двухосный RV-13-DT;28.92.24.120;Катки дорожные самоходные;d9db684278cea059fdf499842eed2ec1;643
Каток вибрационный двухосный RV-14-DT;"";Без НДС;Штука;Описание: Каток вибрационный двухосный RV-14-DT || Диаметр вальца: 1600, Миллиметр || Трансмиссия: гидростатическая || Привод: обе оси || Дополнительные опции: предпусковой подогреватель двигателя, утеплитель капота, бандаж кулачковый || Тип катка: гладковальцовый || Тип катка по способу уплотнения: вибрационный || Вид катка: грунтовый || Эксплуатационная масса: 14, Тонна метрическая тонна (1000 кг) || Тип катка по количеству вальцов: одновальцовый || Климатическое исполнение: 1 || Наличие отопителя: да || Наличие системы кондиционирования: нет / да || Наличие устройства защиты оператора ROPS: нет / да || Тип продукции по ПП РФ 616: Катки дорожные самоходные || Статическая линейная нагрузка вальца, кН/м: 42.5 || Ширина уплотняемой полосы: 2200, Миллиметр || Описание: Каток вибрационный двухосный RV-14-DT;28.92.24.120;Катки дорожные самоходные;d9db684278cea059fdf499842eed2ec1;643
Каток вибрационный двухосный RV-15-DT;"";Без НДС;Штука;Описание: Каток вибрационный двухосный RV-15-DT || Дополнительные опции: предпусковой подогреватель двигателя, утеплитель капота, бандаж кулачковый || Тип катка: гладковальцовый || Тип катка по способу уплотнения: вибрационный || Вид катка: грунтовый || Эксплуатационная масса: 15, Тонна метрическая тонна (1000 кг) || Тип катка по количеству вальцов: одновальцовый || Наличие отопителя: да || Наличие системы кондиционирования: нет / да || Наличие устройства защиты оператора ROPS: да || Тип продукции по ПП РФ 616: Катки дорожные самоходные || Диаметр вальца: 1600, Миллиметр || Статическая линейная нагрузка вальца, кН/м: 47.5 || Ширина уплотняемой полосы: 2200, Миллиметр || Привод: обе оси || Трансмиссия: гидростатическая || Климатическое исполнение: 1 || Описание: Каток вибрационный двухосный RV-15-DT;28.92.24.120;Катки дорожные самоходные;d9db684278cea059fdf499842eed2ec1;643
Каток вибрационный двухосный RV-16-DT;"";Без НДС;Штука;Описание: Каток вибрационный двухосный RV-16-DT || Статическая линейная нагрузка вальца, кН/м: 52 || Климатическое исполнение: 1 || Трансмиссия: гидростатическая || Привод: обе оси || Дополнительные опции: предпусковой подогреватель двигателя, утеплитель капота, бандаж кулачковый || Тип катка: гладковальцовый || Эксплуатационная масса: 16, Тонна метрическая тонна (1000 кг) || Тип катка по количеству вальцов: одновальцовый || Наличие отопителя: да || Наличие системы кондиционирования: нет / да || Наличие устройства защиты оператора ROPS: да || Тип продукции по ПП РФ 616: Катки дорожные самоходные || Диаметр вальца: 1600, Миллиметр || Ширина уплотняемой полосы: 2200, Миллиметр || Вид катка: грунтовый || Тип катка по способу уплотнения: вибрационный || Описание: Каток вибрационный двухосный RV-16-DT;28.92.24.120;Катки дорожные самоходные;d9db684278cea059fdf499842eed2ec1;643
Каток вибрационный двухосный RV-17-DT;"";Без НДС;Штука;Описание: Каток вибрационный двухосный RV-17-DT || Климатическое исполнение: 1 || Тип катка по количеству вальцов: одновальцовый || Наличие отопителя: да || Наличие системы кондиционирования: нет / да || Наличие устройства защиты оператора ROPS: да || Тип продукции по ПП РФ 616: Катки дорожные самоходные || Диаметр вальца: 1600, Миллиметр || Статическая линейная нагрузка вальца, кН/м: 57 || Ширина уплотняемой полосы: 2200, Миллиметр || Трансмиссия: гидростатическая || Привод: обе оси || Дополнительные опции: бандаж кулачковый, утеплитель капота, предпусковой подогреватель || Тип катка: гладковальцовый || Эксплуатационная масса: 17, Тонна метрическая тонна (1000 кг) || Вид катка: грунтовый || Тип катка по способу уплотнения: вибрационный || Описание: Каток вибрационный двухосный RV-17-DT;28.92.24.120;Катки дорожные самоходные;d9db684278cea059fdf499842eed2ec1;643
Каток вибрационный двухосный RV-18-DT;"";Без НДС;Штука;Описание: Каток вибрационный двухосный RV-18-DT || Дополнительные опции: предпусковой подогреватель двигателя, утеплитель капота, бандаж кулачковый || Тип катка по количеству вальцов: одновальцовый || Наличие отопителя: да || Наличие системы кондиционирования: нет / да || Наличие устройства защиты оператора ROPS: да || Тип продукции по ПП РФ 616: Катки дорожные самоходные || Диаметр вальца: 1600, Миллиметр || Ширина уплотняемой полосы: 2200, Миллиметр || Статическая линейная нагрузка вальца, кН/м: 61.5 || Трансмиссия: гидростатическая || Привод: обе оси || Эксплуатационная масса: 18, Тонна метрическая тонна (1000 кг) || Климатическое исполнение: 1 || Тип катка: гладковальцовый || Тип катка по способу уплотнения: вибрационный || Вид катка: грунтовый || Описание: Каток вибрационный двухосный RV-18-DT;28.92.24.120;Катки дорожные самоходные;d9db684278cea059fdf499842eed2ec1;643
Каток вибрационный двухосный RV-19-DT;"";Без НДС;Штука;Описание: Каток вибрационный двухосный RV-19-DT || Дополнительные опции: предпусковой подогреватель двигателя, утеплитель капота, бандаж кулачковый || Тип катка по способу уплотнения: вибрационный || Вид катка: грунтовый || Эксплуатационная масса: 19, Тонна метрическая тонна (1000 кг) || Тип катка по количеству вальцов: одновальцовый || Наличие отопителя: да || Наличие системы кондиционирования: нет / да || Наличие устройства защиты оператора ROPS: да || Тип продукции по ПП РФ 616: Катки дорожные самоходные || Диаметр вальца: 1600, Миллиметр || Статическая линейная нагрузка вальца, кН/м: 66.5 || Ширина уплотняемой полосы: 2200, Миллиметр || Тип катка: гладковальцовый || Привод: обе оси || Трансмиссия: гидростатическая || Климатическое исполнение: 1 || Описание: Каток вибрационный двухосный RV-19-DT;28.92.24.120;Катки дорожные самоходные;d9db684278cea059fdf499842eed2ec1;643
Каток вибрационный двухосный RV-20-DT;"";Без НДС;Штука;Описание: Каток вибрационный двухосный RV-20-DT || Тип продукции по ПП РФ 616: Катки дорожные самоходные || Наличие системы кондиционирования: нет / да || Наличие отопителя: да || Тип катка по количеству вальцов: одновальцовый || Эксплуатационная масса: 20, Тонна метрическая тонна (1000 кг) || Вид катка: грунтовый || Тип катка по способу уплотнения: вибрационный || Тип катка: гладковальцовый || Дополнительные опции: предпусковой подогреватель двигателя, утеплитель капота, бандаж кулачковый || Привод: обе оси || Трансмиссия: гидростатическая || Климатическое исполнение: 1 || Ширина уплотняемой полосы: 2200, Миллиметр || Статическая линейная нагрузка вальца, кН/м: 71 || Диаметр вальца: 1600, Миллиметр || Наличие устройства защиты оператора ROPS: да || Описание: Каток вибрационный двухосный RV-20-DT;28.92.24.120;Катки дорожные самоходные;d9db684278cea059fdf499842eed2ec1;643
Каток вибрационный двухосный RV-21-DT;"";Без НДС;Штука;Описание: Каток вибрационный двухосный RV-21-DT || Привод: обе оси || Ширина уплотняемой полосы: 2200, Миллиметр || Статическая линейная нагрузка вальца, кН/м: 76 || Диаметр вальца: 1600, Миллиметр || Тип продукции по ПП РФ 616: Катки дорожные самоходные || Наличие устройства защиты оператора ROPS: да || Наличие системы кондиционирования: нет / да || Наличие отопителя: да || Тип катка по количеству вальцов: одновальцовый || Эксплуатационная масса: 21, Тонна метрическая тонна (1000 кг) || Вид катка: грунтовый || Тип катка по способу уплотнения: вибрационный || Тип катка: гладковальцовый || Дополнительные опции: предпусковой подогреватель двигателя, утеплитель капота, бандаж кулачковый || Трансмиссия: гидростатическая || Климатическое исполнение: 1 || Описание: Каток вибрационный двухосный RV-21-DT;28.92.24.120;Катки дорожные самоходные;d9db684278cea059fdf499842eed2ec1;643
Каток пневмоколесный двухосный двухвальцовый ДУ-100;"";Без НДС;Штука;Описание: Каток пневмоколесный двухосный двухвальцовый ДУ-100 || Эксплуатационная масса: 14, Тонна метрическая тонна (1000 кг) || Тип катка по количеству вальцов: Двухвальцовый || Климатическое исполнение: 1 || Наличие отопителя: Да || Наличие системы кондиционирования: Нет / Да || Наличие устройства защиты оператора ROPS: Нет || Тип продукции по ПП РФ 616: Катки дорожные самоходные || Трансмиссия: гидростатическая || Привод: обе оси || Диаметр колеса: 1070, Миллиметр || Нагрузка на колесо: 1750, Килограмм || Ширина уплотняемой полосы: 1700, Миллиметр || Тип катка: Пневмоколесный || Тип катка по способу уплотнения: Статический || Вид катка: Дорожный || Описание: Каток пневмоколесный двухосный двухвальцовый ДУ-100;28.92.24.120;Катки дорожные самоходные;d9db684278cea059fdf499842eed2ec1;643
Каток пневмоколесный двухосный двухвальцовый RC-12-SS;"";Без НДС;Штука;Описание: Каток пневмоколесный двухосный двухвальцовый RC-12-SS || Тип катка по способу уплотнения: статический || Привод: задняя ось || Диаметр колеса: 1070, Миллиметр || Нагрузка на колесо: 1500, Килограмм || Дополнительные опции: балластируется металлом от 12 т. до 16.9т || Трансмиссия: гидростатическая || Вид катка: дорожный || Тип катка: пневмоколесный || Климатическое исполнение: 1 || Эксплуатационная масса: 12, Тонна метрическая тонна (1000 кг) || Тип катка по количеству вальцов: двухвальцовый || Наличие отопителя: да || Наличие системы кондиционирования: нет / да || Наличие устройства защиты оператора ROPS: нет || Тип продукции по ПП РФ 616: Катки дорожные самоходные || Ширина уплотняемой полосы: 2075, Миллиметр || Описание: Каток пневмоколесный двухосный двухвальцовый RC-12-SS;28.92.24.120;Катки дорожные самоходные;d9db684278cea059fdf499842eed2ec1;643
Каток статический двухосный трехвальцовый RC-13-DD;"";Без НДС;Штука;Описание: Каток статический двухосный трехвальцовый RC-13-DD || Эксплуатационная масса: 13, Тонна метрическая тонна (1000 кг) || Тип катка по количеству вальцов: трехвальцовый || Наличие отопителя: да || Наличие системы кондиционирования: нет / да || Наличие устройства защиты оператора ROPS: нет || Тип продукции по ПП РФ 616: Катки дорожные самоходные || Ширина уплотняемой полосы: 2100, Миллиметр || Диаметр вальца: 1500, Миллиметр || Климатическое исполнение: 1 || Трансмиссия: гидростатическая || Привод: обе оси || Статическая линейная нагрузка вальца, Кн/м: 57 || Тип катка: гладковальцовый || Тип катка по способу уплотнения: статический || Вид катка: дорожный || Описание: Каток статический двухосный трехвальцовый RC-13-DD;28.92.24.120;Катки дорожные самоходные;d9db684278cea059fdf499842eed2ec1;643
Уплотнитель для полигонов твердых коммунальных отходов РЭМ-32;"";Без НДС;Штука;Описание: Уплотнитель для полигонов твердых коммунальных отходов РЭМ-32 || Тип продукции по ПП РФ 616: Уплотнители твердых бытовых отходов || Привод: обе оси || Диаметр вальца по кулачкам: 1600, Миллиметр || Сила дробления: 157000, Ньютон || Ширина уплотняемой полосы: 2800, Миллиметр || Высота кулачков: 200, Миллиметр || Скорость (рабочая): 4.5, Километр в час || Скорость (транспортная): 7.5, Километр в час || Количество вальцев: 2, Штука || Количество кулачков на вальце: 168, Штука || Тип вальца: Кулачковый || Габаритные размеры (с отвалом) длина х ширина х высота: 9000 х 5000 х 4420, Миллиметр || Эксплуатационная масса: 32, Тонна метрическая тонна (1000 кг) || Тип катка: Кулачковый || Тип катка по способу уплотнения: Статический || Вид катка: Грунтовый || Тип катка по количеству вальцов: Двухвальцовый || Климатическое исполнение: 1 || Наличие системы кондиционирования: Да || Наличие отопителя: Да || Наличие устройства защиты оператора ROPS: Да || Трансмиссия: гидростатическая || Описание: Уплотнитель для полигонов твердых коммунальных отходов РЭМ-32;28.92.24.110;Машины трамбовочные самоходные;d9db684278cea059fdf499842eed2ec1;643
Уплотнитель для полигонов твердых коммунальных отходов РЭМ-38;"";Без НДС;Штука;Описание: Уплотнитель для полигонов твердых коммунальных отходов РЭМ-38 || Наличие системы кондиционирования: Да || Наличие устройства защиты оператора ROPS: Да || Тип продукции по ПП РФ 616: Уплотнители твердых бытовых отходов || Тип катка по количеству вальцов: Двухвальцовый || Вид катка: Грунтовый || Тип катка по способу уплотнения: Статический || Тип катка: Кулачковый || Эксплуатационная масса: 38, Тонна метрическая тонна (1000 кг) || Габаритные размеры (с отвалом) длина х ширина х высота: 9000 х 5000 х 4420, Миллиметр || Тип вальца: Кулачковый || Количество кулачков на вальце: 216, Штука || Количество вальцев: 2, Штука || Скорость (транспортная): 7.5, Километр в час || Скорость (рабочая): 4.5, Километр в час || Высота кулачков: 200, Миллиметр || Ширина уплотняемой полосы: 3800, Миллиметр || Сила дробления: 186000, Ньютон || Климатическое исполнение: 1 || Наличие отопителя: Да || Диаметр вальца по кулачкам: 1600, Миллиметр || Привод: обе оси || Трансмиссия: гидростатическая || Описание: Уплотнитель для полигонов твердых коммунальных отходов РЭМ-38;28.92.24.110;Машины трамбовочные самоходные;d9db684278cea059fdf499842eed2ec1;643
Уплотнитель для полигонов твердых коммунальных отходов РЭМ-45;"";Без НДС;Штука;Описание: Уплотнитель для полигонов твердых коммунальных отходов РЭМ-45 || Наличие системы кондиционирования: Да || Трансмиссия: гидростатическая || Привод: обе оси || Диаметр вальца по кулачкам: 1600, Миллиметр || Сила дробления: 221000, Ньютон || Ширина уплотняемой полосы: 3800, Миллиметр || Высота кулачков: 200, Миллиметр || Скорость (рабочая): 4.5, Километр в час || Скорость (транспортная): 7.5, Километр в час || Количество вальцев: 2, Штука || Количество кулачков на вальце: 216, Штука || Тип вальца: кулачковый || Габаритные размеры (с отвалом) длина х ширина х высота: 9000 х 5000 х 4420, Миллиметр || Эксплуатационная масса: 45, Тонна метрическая тонна (1000 кг) || Тип катка: Кулачковый || Тип катка по способу уплотнения: Статический || Вид катка: Грунтовый || Тип катка по количеству вальцов: Двухвальцовый || Климатическое исполнение: 1 || Наличие отопителя: Да || Наличие устройства защиты оператора ROPS: Да || Тип продукции по ПП РФ 616: Уплотнители твердых бытовых отходов || Описание: Уплотнитель для полигонов твердых коммунальных отходов РЭМ-45;28.92.24.110;Машины трамбовочные самоходные;d9db684278cea059fdf499842eed2ec1;643
Уплотнитель для полигонов твердых коммунальных отходов РЭМ-52;"";Без НДС;Штука;Описание: Уплотнитель для полигонов твердых коммунальных отходов РЭМ-52 || Трансмиссия: гидростатическая || Привод: обе оси || Диаметр вальца по кулачкам: 1600, Миллиметр || Сила дробления: 255000, Ньютон || Ширина уплотняемой полосы: 3800, Миллиметр || Высота кулачков: 200, Миллиметр || Скорость (рабочая): 4.5, Километр в час || Скорость (транспортная): 7.5, Километр в час || Количество вальцев: 2, Штука || Количество кулачков на вальце: 216, Штука || Эксплуатационная масса: 52, Тонна метрическая тонна (1000 кг) || Габаритные размеры (с отвалом) длина х ширина х высота: 9000 х 5000 х 4420, Миллиметр || Тип продукции по ПП РФ 616: Уплотнители твердых бытовых отходов || Наличие устройства защиты оператора ROPS: Да || Наличие системы кондиционирования: Да || Тип вальца: кулачковый || Наличие отопителя: Да || Климатическое исполнение: 1 || Тип катка по количеству вальцов: Двухвальцовый || Вид катка: Грунтовый || Тип катка по способу уплотнения: Статический || Тип катка: Кулачковый || Описание: Уплотнитель для полигонов твердых коммунальных отходов РЭМ-52;28.92.24.110;Машины трамбовочные самоходные;d9db684278cea059fdf499842eed2ec1;643
Токарно-карусельный станок с ЧПУ модели 1516Ф3.СМ;"";Без НДС;Штука;Описание: Токарно-карусельный станок с ЧПУ модели 1516Ф3.СМ || Наибольшая длина хода верхнего суппорта: 700, Миллиметр || Наибольший ход поперечины: 650, Миллиметр || Максимальная масса заготовки: 8, Тонна метрическая тонна (1000 кг) || Высота обработки: 1000, Миллиметр || Диаметра обработки: 1600, Миллиметр || Тип продукции по ПП РФ 616: Токарно-карусельные (универсальные, с УЦИ, ЧПУ) || Описание: Токарно-карусельный станок с ЧПУ модели 1516Ф3.СМ;28.41.21.120;Станки токарные металлорежущие с числовым программным управлением;cb442768ec7bca768f60569617ac87d1;643
Токарно-карусельный станок с ЧПУ модели 1512Ф3.СМ;"";Без НДС;Штука;Описание: Токарно-карусельный станок с ЧПУ модели 1512Ф3.СМ || Тип продукции по ПП РФ 616: Токарно-карусельные (универсальные, с УЦИ, ЧПУ) || Описание: Токарно-карусельный станок с ЧПУ модели 1512Ф3.СМ;28.41.21.120;Станки токарные металлорежущие с числовым программным управлением;cb442768ec7bca768f60569617ac87d1;643
Комбайн зерноуборочный самоходный S300 «NOVA»: NOVA-340;"";Без НДС;Штука;Описание: Комбайн зерноуборочный самоходный S300 «NOVA»: NOVA-340 || Мощность двигателя: 132.4, Киловатт || Масса конструкционная: 11940, Килограмм || Производительность: 8, Тонна в час || Тип продукции по ПП РФ 616: Комбайны зерноуборочные || Объем бункера: 4500, Литр кубический дециметр || Описание: Комбайн зерноуборочный самоходный S300 «NOVA»: NOVA-340;28.30.59.111;Комбайны зерноуборочные;5ff2099401aa50f2580078ed54e62654;643
Агидол-0 / 2,6-ди-третбутилфенол;220000;20%;Тонна метрическая тонна (1000 кг);Описание: Агидол-0 / 2,6-ди-третбутилфенол || Температура застывания для жидкого: 15, Градус Цельсия || Температура плавления для кристаллического: 36, Градус Цельсия || Температура вспышки для жидкого: 100, Градус Цельсия || Безопасность по ПДК: умеренно опасное (iii класс опасности) || Содержание основного вещества: 99, Процент || Описание: Агидол-0 / 2,6-ди-третбутилфенол;20.14.24.119;Фенолы прочие;a81dc3526d3500dbed353f829165b148;643
Агидол-1 технический / Присадка антиокислительная 4-метил-2,6-дитретичный бутилфенол;"";Без НДС;Тонна метрическая тонна (1000 кг);Описание: Агидол-1 технический / Присадка антиокислительная 4-метил-2,6-дитретичный бутилфенол || Содержание основного вещества: 7, Процент || Температура конца плавления: 5, Градус Цельсия || Температура кристаллизации: 69, Градус Цельсия || Безопасность по ПДК: малоопасное вещество (iv класс) || Внешний вид: белый кристаллический порошок без посторонних примесей || Описание: Агидол-1 технический / Присадка антиокислительная 4-метил-2,6-дитретичный бутилфенол;20.14.24.119;Фенолы прочие;a81dc3526d3500dbed353f829165b148;643
Агидол кормовой;"";Без НДС;Тонна метрическая тонна (1000 кг);Описание: Агидол кормовой || Безопасность по ПДК: малоопасное вещество (iv класс опасности) || Температура кристаллизации: 2, Градус Цельсия || Содержание основного вещества (Агидола-1): 7, Процент || Описание: Агидол кормовой;20.14.24.119;Фенолы прочие;a81dc3526d3500dbed353f829165b148;643
Агидол-1 кристаллический;"";Без НДС;Тонна метрическая тонна (1000 кг);Описание: Агидол-1 кристаллический || Цветность по АРНА: 20, Единица || Содержание основного вещества: 99.8, Процент || Безопасность по ПДК: малоопасное вещество (iv класс опасности) || Описание: Агидол-1 кристаллический;20.14.24.119;Фенолы прочие;a81dc3526d3500dbed353f829165b148;643
Эфир метил-трет-бутиловый (МТБЭ);"";Без НДС;Тонна метрическая тонна (1000 кг);Описание: Эфир метил-трет-бутиловый (МТБЭ) || Безопасность по ПДК: малоопасное вещество (iv класс опасности) || Октановое число смешения: 110, Единица || Массовая доля метанола: 10, Процент || Массовая доля углеводородов: 10, Процент || Тип продукции по ПП РФ 616: Эфиры простые || Обозначение: метил-третбутиловый эфир || Марка: высший сорт  а  б || Назначение: компонент автомобильных бензинов || Массовая доля основного вещества, не менее: 95, Процент || Тип: добавка || Описание: Эфир метил-трет-бутиловый (МТБЭ);20.14.63.110;Эфиры простые;a81dc3526d3500dbed353f829165b148;643
Амины первичные (дистиллированные) фракция С17-С20 марка С;"";Без НДС;Килограмм;Описание: Амины первичные (дистиллированные) фракция С17-С20 марка С || Марка: марка С || Цвет: серовато-белый || Упаковка: специальные контейнеры, стальные или пластиковые бочки, железнодорожные цистерны с паровой рубашкой || Тип продукции по ПП РФ 616: Продукты разные химические прочие, не включенные в другие группировки введен Изменением 21/2017 ОКПД 2, утв. Приказом Росстандарта от 08.09.2017 N 1044-ст) || Массовая доля углеводородов: 5, Процент || Массовая доля первичных аминов: 94, Процент || Массовая доля воды: 1, Процент || Массовая доля вторичных аминов: 3, Процент || Йодное число на 100г продукта: 4 || Описание: Амины первичные (дистиллированные) фракция С17-С20 марка С;20.59.59.900;Продукты разные химические прочие, не включенные в другие группировки;dc4367daff833591942ae92e8afda88c;643
Амины первичные (дистиллированные) фракция С17-С20 марка Б;"";Без НДС;Килограмм;Описание: Амины первичные (дистиллированные) фракция С17-С20 марка Б || Марка: марка Б || Цвет: серовато-белый || Упаковка: специальные контейнеры, стальные или пластиковые бочки, железнодорожные цистерны с паровой рубашкой || Йодное число на 100г продукта: 15 || Массовая доля углеводородов: 6, Процент || Массовая доля воды: 1, Процент || Массовая доля вторичных аминов: 6, Процент || Массовая доля первичных аминов: 90, Процент || Тип продукции по ПП РФ 616: Продукты разные химические прочие, не включенные в другие группировки введен Изменением 21/2017 ОКПД 2, утв. Приказом Росстандарта от 08.09.2017 N 1044-ст) || Описание: Амины первичные (дистиллированные) фракция С17-С20 марка Б;20.59.59.900;Продукты разные химические прочие, не включенные в другие группировки;dc4367daff833591942ae92e8afda88c;643
Амины первичные (дистиллированные) фракция С17-С20 марка А;"";Без НДС;Килограмм;Описание: Амины первичные (дистиллированные) фракция С17-С20 марка А || Цвет: серовато-белый || Йодное число на 100г продукта: 15 || Массовая доля первичных аминов: 86, Процент || Массовая доля вторичных аминов: 7, Процент || Массовая доля углеводородов: 8, Процент || Массовая доля воды: 1, Процент || Тип продукции по ПП РФ 616: Продукты разные химические прочие, не включенные в другие группировки введен Изменением 21/2017 ОКПД 2, утв. Приказом Росстандарта от 08.09.2017 N 1044-ст) || Упаковка: специальные контейнеры, стальные или пластиковые бочки, железнодорожные цистерны с паровой рубашкой || Марка: марка А || Описание: Амины первичные (дистиллированные) фракция С17-С20 марка А;20.59.59.900;Продукты разные химические прочие, не включенные в другие группировки;dc4367daff833591942ae92e8afda88c;643
Нитрит натрия неслеживающийся;"";Без НДС;Килограмм;Описание: Нитрит натрия неслеживающийся || Тип: неслеживающийся || Описание: Нитрит натрия неслеживающийся;20.15.20.120;Нитриты;dc4367daff833591942ae92e8afda88c;643
